"rango_edad","sexo","total","dep"
"0-4",1,36134,1
"0-4",2,35868,1
"10-14",1,29909,1
"10-14",2,28506,1
"15-19",1,21009,1
"15-19",2,22487,1
"20-24",1,16798,1
"20-24",2,19013,1
"25-29",1,14266,1
"25-29",2,15699,1
"30-34",1,12174,1
"30-34",2,13267,1
"35-39",1,10668,1
"35-39",2,12307,1
"40-44",1,9729,1
"40-44",2,10907,1
"45-49",1,8727,1
"45-49",2,9405,1
"5-9",1,33554,1
"5-9",2,33110,1
"50-54",1,6465,1
"50-54",2,7406,1
"55-59",1,4423,1
"55-59",2,5413,1
"60-64",1,5300,1
"60-64",2,5888,1
"65-69",1,3241,1
"65-69",2,3933,1
"70-74",1,2632,1
"70-74",2,3222,1
"75-79",1,1735,1
"75-79",2,2012,1
"80-84",1,1370,1
"80-84",2,1743,1
"85-89",1,647,1
"85-89",2,764,1
"90-94",1,351,1
"90-94",2,402,1
"95-99",1,1641,1
"95-99",2,1631,1
"0-4",1,128095,2
"0-4",2,124911,2
"10-14",1,119564,2
"10-14",2,114899,2
"15-19",1,93965,2
"15-19",2,98201,2
"20-24",1,78400,2
"20-24",2,86056,2
"25-29",1,68063,2
"25-29",2,74661,2
"30-34",1,62604,2
"30-34",2,67158,2
"35-39",1,54172,2
"35-39",2,59873,2
"40-44",1,46436,2
"40-44",2,48140,2
"45-49",1,38921,2
"45-49",2,40697,2
"5-9",1,123685,2
"5-9",2,121507,2
"50-54",1,28361,2
"50-54",2,30032,2
"55-59",1,21941,2
"55-59",2,23815,2
"60-64",1,23294,2
"60-64",2,24491,2
"65-69",1,15199,2
"65-69",2,16616,2
"70-74",1,10739,2
"70-74",2,12388,2
"75-79",1,6757,2
"75-79",2,7383,2
"80-84",1,4221,2
"80-84",2,5309,2
"85-89",1,2094,2
"85-89",2,2421,2
"90-94",1,1098,2
"90-94",2,1180,2
"95-99",1,7121,2
"95-99",2,6318,2
"0-4",1,81833,3
"0-4",2,79522,3
"10-14",1,69953,3
"10-14",2,67240,3
"15-19",1,56189,3
"15-19",2,58709,3
"20-24",1,48435,3
"20-24",2,51269,3
"25-29",1,40583,3
"25-29",2,43112,3
"30-34",1,35498,3
"30-34",2,36927,3
"35-39",1,29826,3
"35-39",2,32747,3
"40-44",1,24455,3
"40-44",2,25476,3
"45-49",1,20256,3
"45-49",2,22247,3
"5-9",1,75641,3
"5-9",2,73950,3
"50-54",1,14632,3
"50-54",2,17105,3
"55-59",1,10809,3
"55-59",2,12871,3
"60-64",1,11591,3
"60-64",2,13547,3
"65-69",1,7827,3
"65-69",2,9573,3
"70-74",1,5836,3
"70-74",2,7440,3
"75-79",1,4068,3
"75-79",2,5187,3
"80-84",1,2687,3
"80-84",2,3606,3
"85-89",1,1169,3
"85-89",2,1696,3
"90-94",1,559,3
"90-94",2,755,3
"95-99",1,2810,3
"95-99",2,2569,3
"0-4",1,23404,4
"0-4",2,22795,4
"10-14",1,23035,4
"10-14",2,22653,4
"15-19",1,17983,4
"15-19",2,17371,4
"20-24",1,12636,4
"20-24",2,13712,4
"25-29",1,10333,4
"25-29",2,12025,4
"30-34",1,10260,4
"30-34",2,11721,4
"35-39",1,9136,4
"35-39",2,10777,4
"40-44",1,7757,4
"40-44",2,8522,4
"45-49",1,6337,4
"45-49",2,7314,4
"5-9",1,23821,4
"5-9",2,23339,4
"50-54",1,4678,4
"50-54",2,5394,4
"55-59",1,3978,4
"55-59",2,4654,4
"60-64",1,4212,4
"60-64",2,4978,4
"65-69",1,2790,4
"65-69",2,3300,4
"70-74",1,1958,4
"70-74",2,2451,4
"75-79",1,1192,4
"75-79",2,1423,4
"80-84",1,785,4
"80-84",2,1098,4
"85-89",1,342,4
"85-89",2,405,4
"90-94",1,156,4
"90-94",2,199,4
"95-99",1,519,4
"95-99",2,671,4
"0-4",1,51159,5
"0-4",2,49942,5
"10-14",1,43036,5
"10-14",2,40867,5
"15-19",1,28591,5
"15-19",2,29781,5
"20-24",1,20611,5
"20-24",2,23492,5
"25-29",1,17996,5
"25-29",2,21342,5
"30-34",1,17984,5
"30-34",2,20267,5
"35-39",1,16220,5
"35-39",2,19641,5
"40-44",1,14177,5
"40-44",2,16608,5
"45-49",1,12428,5
"45-49",2,14818,5
"5-9",1,48221,5
"5-9",2,47823,5
"50-54",1,9437,5
"50-54",2,11312,5
"55-59",1,7144,5
"55-59",2,8841,5
"60-64",1,7792,5
"60-64",2,9664,5
"65-69",1,5228,5
"65-69",2,6782,5
"70-74",1,3879,5
"70-74",2,5254,5
"75-79",1,2412,5
"75-79",2,3359,5
"80-84",1,1875,5
"80-84",2,2627,5
"85-89",1,865,5
"85-89",2,1144,5
"90-94",1,450,5
"90-94",2,625,5
"95-99",1,961,5
"95-99",2,1234,5
"0-4",1,22268,6
"0-4",2,21917,6
"10-14",1,19195,6
"10-14",2,18833,6
"15-19",1,15796,6
"15-19",2,15565,6
"20-24",1,11884,6
"20-24",2,12802,6
"25-29",1,10264,6
"25-29",2,10818,6
"30-34",1,9451,6
"30-34",2,9690,6
"35-39",1,7893,6
"35-39",2,8436,6
"40-44",1,6500,6
"40-44",2,6430,6
"45-49",1,5248,6
"45-49",2,5496,6
"5-9",1,20874,6
"5-9",2,20201,6
"50-54",1,4052,6
"50-54",2,4182,6
"55-59",1,2759,6
"55-59",2,3072,6
"60-64",1,2995,6
"60-64",2,3153,6
"65-69",1,1814,6
"65-69",2,1975,6
"70-74",1,1395,6
"70-74",2,1608,6
"75-79",1,894,6
"75-79",2,985,6
"80-84",1,555,6
"80-84",2,681,6
"85-89",1,247,6
"85-89",2,326,6
"90-94",1,116,6
"90-94",2,165,6
"95-99",1,432,6
"95-99",2,440,6
"0-4",1,109380,7
"0-4",2,106184,7
"10-14",1,88490,7
"10-14",2,86430,7
"15-19",1,76525,7
"15-19",2,76243,7
"20-24",1,63413,7
"20-24",2,65301,7
"25-29",1,52881,7
"25-29",2,55350,7
"30-34",1,47142,7
"30-34",2,46432,7
"35-39",1,38670,7
"35-39",2,38791,7
"40-44",1,30671,7
"40-44",2,28431,7
"45-49",1,23771,7
"45-49",2,22090,7
"5-9",1,96680,7
"5-9",2,93827,7
"50-54",1,17635,7
"50-54",2,16511,7
"55-59",1,12084,7
"55-59",2,11544,7
"60-64",1,10817,7
"60-64",2,10523,7
"65-69",1,6744,7
"65-69",2,7004,7
"70-74",1,4740,7
"70-74",2,4834,7
"75-79",1,3091,7
"75-79",2,3077,7
"80-84",1,1655,7
"80-84",2,2028,7
"85-89",1,687,7
"85-89",2,902,7
"90-94",1,237,7
"90-94",2,382,7
"95-99",1,1665,7
"95-99",2,1527,7
"0-4",1,24342,8
"0-4",2,23144,8
"10-14",1,19864,8
"10-14",2,18612,8
"15-19",1,16829,8
"15-19",2,14481,8
"20-24",1,11658,8
"20-24",2,11155,8
"25-29",1,9881,8
"25-29",2,9558,8
"30-34",1,8318,8
"30-34",2,7888,8
"35-39",1,6895,8
"35-39",2,6936,8
"40-44",1,5906,8
"40-44",2,5338,8
"45-49",1,4474,8
"45-49",2,4198,8
"5-9",1,21878,8
"5-9",2,20947,8
"50-54",1,3324,8
"50-54",2,2894,8
"55-59",1,2297,8
"55-59",2,2167,8
"60-64",1,2391,8
"60-64",2,1995,8
"65-69",1,1512,8
"65-69",2,1366,8
"70-74",1,1208,8
"70-74",2,1012,8
"75-79",1,656,8
"75-79",2,620,8
"80-84",1,323,8
"80-84",2,356,8
"85-89",1,112,8
"85-89",2,173,8
"90-94",1,44,8
"90-94",2,55,8
"95-99",1,715,8
"95-99",2,652,8
"0-4",1,3279,9
"0-4",2,3195,9
"10-14",1,2565,9
"10-14",2,2277,9
"15-19",1,2519,9
"15-19",2,1790,9
"20-24",1,1827,9
"20-24",2,1440,9
"25-29",1,1558,9
"25-29",2,1274,9
"30-34",1,1378,9
"30-34",2,1010,9
"35-39",1,1178,9
"35-39",2,860,9
"40-44",1,1042,9
"40-44",2,647,9
"45-49",1,830,9
"45-49",2,537,9
"5-9",1,2987,9
"5-9",2,2863,9
"50-54",1,631,9
"50-54",2,317,9
"55-59",1,424,9
"55-59",2,257,9
"60-64",1,345,9
"60-64",2,197,9
"65-69",1,243,9
"65-69",2,116,9
"70-74",1,150,9
"70-74",2,87,9
"75-79",1,59,9
"75-79",2,51,9
"80-84",1,36,9
"80-84",2,28,9
"85-89",1,6,9
"85-89",2,14,9
"90-94",1,3,9
"90-94",2,2,9
"95-99",1,30,9
"95-99",2,20,9
